100BlockAddress
41XX BLOCK OF 23RD AVE SW
34XX BLOCK OF GILMAN AVE W
25XX BLOCK OF THORNDYKE AVE W
6XX BLOCK OF 20TH AVE S
45XX BLOCK OF ROOSEVELT WAY NE
VALLEY ST / WARREN AVE N
10XX BLOCK OF SPRING ST
54XX BLOCK OF 34TH AVE SW
6XX BLOCK OF 1ST AVE
29XX BLOCK OF 3RD AVE W
137XX BLOCK OF 1ST AVE NW
NE RAVENNA BLVD / NE 68TH ST
29TH AVE W / W BOSTON ST
8XX BLOCK OF 26TH AVE
47XX BLOCK OF PHINNEY AVE N
12XX BLOCK OF S WELLER ST
18XX BLOCK OF 11TH AVE W
S CLOVERDALE ST / M L KING JR WAY S
70XX BLOCK OF 44TH AVE S
E BARCLAY CT / 13TH AVE
15XX BLOCK OF NW 57TH ST
11XX BLOCK OF N 85TH ST
GREENWOOD AVE N / N 90TH ST
S HOLGATE ST / 15TH AVE S
8XX BLOCK OF NW 51ST ST
15TH AVE NW / NW 57TH ST
9XX BLOCK OF NE 72ND ST
S LANE ST / MAYNARD AVE S
15TH AVE NE / NE 45TH ST
9XX BLOCK OF S JACKSON ST
27XX BLOCK OF UTAH AVE S
5XX BLOCK OF 6TH AVE S
E PIKE ST / BOYLSTON AVE
6XX BLOCK OF S FIDALGO ST
OLIVE WAY / 5TH AVE
6XX BLOCK OF S JACKSON ST
5XX BLOCK OF 15TH AVE E
15XX BLOCK OF 6TH AVE
5XX BLOCK OF SW ROXBURY ST
74XX BLOCK OF CALIFORNIA AVE SW
24XX BLOCK OF UTAH AVE S
5XX BLOCK OF NE 89TH ST
65XX BLOCK OF RAINIER AVE S
30XX BLOCK OF S PORTLAND ST
16XX BLOCK OF 14TH AVE
11XX BLOCK OF E COLUMBIA ST
E THOMAS ST / HARVARD AVE E
1XX BLOCK OF 14TH AVE
48XX BLOCK OF SAND POINT WAY NE
38XX BLOCK OF SW BARTON ST
8XX BLOCK OF 27TH AVE
65XX BLOCK OF FRANCIS AVE N
26XX BLOCK OF NE 46TH ST
10TH AVE S / S WELLER ST
8XX BLOCK OF NW 65TH ST
5TH AVE / VIRGINIA ST
43XX BLOCK OF 9TH AVE NE
83XX BLOCK OF 3RD AVE NW
24XX BLOCK OF AURORA AVE N
44XX BLOCK OF 37TH AVE SW
4XX BLOCK OF CROCKETT ST
112XX BLOCK OF 57TH AVE S
8XX BLOCK OF NE NORTHGATE WAY
45XX BLOCK OF WALLINGFORD AVE N
47XX BLOCK OF EVANSTON AVE N
17XX BLOCK OF BROADWAY
E ARTHUR PL / 29TH AVE E
137XX BLOCK OF NORTHWOOD RD NW
2XX BLOCK OF NW 87TH ST
38XX BLOCK OF SW 107TH ST
3RD AVE / JAMES ST
NW 67TH ST / 8TH AVE NW
ALASKAN WAY / UNION ST
72XX BLOCK OF 2ND AVE NW
80XX BLOCK OF 18TH AVE NW
5XX BLOCK OF CHERRY ST
54XX BLOCK OF 49TH AVE SW
12XX BLOCK OF HARRISON ST
6XX BLOCK OF PINE ST
S LANDER ST / UTAH AVE S
90XX BLOCK OF 35TH AVE SW
52XX BLOCK OF SHILSHOLE AVE NW
5XX BLOCK OF JOHN ST
72XX BLOCK OF ROOSEVELT WAY NE
87XX BLOCK OF 25TH PL NE
65XX BLOCK OF 48TH AVE NE
6XX BLOCK OF STEWART ST
29XX BLOCK OF SW AVALON WAY
19XX BLOCK OF 3RD AVE
77XX BLOCK OF 15TH AVE NW
E CALHOUN ST / 16TH AVE E
3RD AVE NW / NW 79TH ST
94XX BLOCK OF 35TH AVE NE
18XX BLOCK OF 23RD AVE E
41XX BLOCK OF SW THISTLE ST
9XX BLOCK OF E MADISON ST
39XX BLOCK OF WOODLAND PARK AVE N
5XX BLOCK OF 17TH AVE
104XX BLOCK OF 66TH AVE S
20XX BLOCK OF EASTLAKE AVE E
20XX BLOCK OF 6TH AVE
S HOLGATE ST / UTAH AVE S
30XX BLOCK OF NW MARKET ST
MINOR AVE / SENECA ST
14XX BLOCK OF 1ST AVE
97XX BLOCK OF 3RD AVE NE
55XX BLOCK OF 3RD AVE S
36XX BLOCK OF S GRAHAM ST
2XX BLOCK OF TERRY AVE
62XX BLOCK OF SW ADMIRAL WAY
14XX BLOCK OF W RUFFNER ST
15XX BLOCK OF NW 59TH ST
55XX BLOCK OF 15TH AVE NE
14XX BLOCK OF 5TH AVE N
42XX BLOCK OF 4TH AVE NW
64XX BLOCK OF FLORA AVE S
43XX BLOCK OF 6TH AVE NW
16XX BLOCK OF 4TH AVE
90XX BLOCK OF 8TH AVE SW
7XX BLOCK OF N 95TH ST
56XX BLOCK OF S FOUNTAIN ST
3XX BLOCK OF E ROY ST
22XX BLOCK OF 15TH AVE W
56XX BLOCK OF KIRKWOOD PL N
74XX BLOCK OF WOODLAWN AVE NE
5XX BLOCK OF BELMONT AVE E
E OLIVE WAY / BOYLSTON AVE E
100XX BLOCK OF CALIFORNIA AVE SW
2XX BLOCK OF 32ND AVE E
22XX BLOCK OF NW 56TH ST
37XX BLOCK OF S KENYON ST
1ST AVE S / S HOLGATE ST
12XX BLOCK OF TAYLOR AVE N
30XX BLOCK OF S MYRTLE ST
92XX BLOCK OF RAINIER AVE S
18XX BLOCK OF MINOR AVE
59XX BLOCK OF 21ST AVE SW
S LANDER ST / COLORADO AVE S
55XX BLOCK OF RENTON AVE S
63XX BLOCK OF LATONA AVE NE
47XX BLOCK OF 19TH AVE NE
64XX BLOCK OF 24TH AVE NW
17XX BLOCK OF SUMMIT AVE
16XX BLOCK OF 2ND AVE
38XX BLOCK OF CHEASTY BLVD S
42XX BLOCK OF NE 92ND ST
82XX BLOCK OF GREEN LAKE DR N
E HOWELL ST / 25TH AVE
35XX BLOCK OF SW 98TH ST
RAINIER AVE S / S GARDEN ST
15XX BLOCK OF 1ST AVE
110XX BLOCK OF 2ND AVE NE
7XX BLOCK OF 19TH AVE E
DENNY WAY / VINE ST
83XX BLOCK OF 15TH AVE NW
1XX BLOCK OF DRAVUS ST
11XX BLOCK OF 9TH AVE
80XX BLOCK OF LAKE CITY WAY NE
1XX BLOCK OF BELLEVUE AVE E
27XX BLOCK OF 4TH AVE S
69XX BLOCK OF MARTIN LUTHER KING JR WAY S
38XX BLOCK OF 34TH AVE W
29XX BLOCK OF 4TH AVE S
17XX BLOCK OF CALIFORNIA AVE SW
69XX BLOCK OF CARLETON AVE S
S LUCILE ST / 5TH AVE S
11XX BLOCK OF EASTLAKE AVE E
15XX BLOCK OF 4TH AVE
38XX BLOCK OF CALIFORNIA AVE SW
