RecordId,ListingId,OffenseId
459,284087,13440404201
460,284087,13469712039
461,284087,13465388936
462,284087,13470215670
463,284087,13470480194
464,284087,13466013877
465,284087,13466590141
466,284087,13470173100
467,284087,13469845004
468,284087,13489443010
469,284087,13478958281
470,284087,13477218101
471,284087,13471196233
472,284087,13470935307
473,284087,13498812663
474,284087,13478882208
475,284087,13478378862
476,284087,13499941829
477,284087,13499620127
478,284087,13499496883
479,284087,13440127079
480,284087,13440325060
481,284087,13478355658
482,286080,13437162682
483,286080,13460363071
484,286080,13438046551
485,286080,13448930690
486,286080,13440319474
487,286080,13440303263
488,286080,13469646602
489,286080,13467915459
490,286080,13470439534
491,286080,13489311467
492,286080,13486020962
493,286080,13479606112
494,286080,13478848833
495,286080,13478828741
496,286080,13478822099
497,286080,13478204634
498,286080,13477866215
499,286080,13477072140
500,286080,13493188486
501,286080,13519388115
502,286080,13478886574
503,286080,13499706481
504,286080,13499423456
505,286080,13469712041
506,286080,13466917209
507,286080,13465007105
508,286080,13491057310
509,286080,13490682157
510,299817,13448629072
511,299817,13465259120
512,299817,13477838049
513,299817,13499227921
514,303277,13435634132
515,303277,13433968478
516,303277,13465745287
517,303277,13469934688
518,303277,13465320555
519,303277,13499523505
520,303277,13499036614
521,303277,13469464656
522,319768,13438132129
523,319768,13435740211
524,319768,13470515742
525,319768,13470544494
526,338091,13437381964
527,338091,13437543951
528,338091,13427980576
529,338091,13460299839
530,338091,13458095245
531,338091,13439800650
532,338091,13457186959
533,338091,13457122145
534,338091,13437695817
535,338091,13469578052
536,338091,13465942192
537,338091,13465497742
538,338091,13440197833
539,338091,13465384494
540,338091,13469928666
541,338091,13469900776
542,338091,13469886438
543,338091,13469409274
544,338091,13484811193
545,338091,13480529919
546,338091,13499718132
547,338091,13499428371
548,338091,13478704972
549,338091,13499255398
550,338091,13499857117
551,338091,13499840649
552,338091,13470765279
553,338091,13440325060
554,338091,13478934427
555,340706,13440286071
556,340706,13440109122
557,340706,13466018846
558,340706,13478704744
559,353039,13437980754
560,353039,13437381964
561,353039,13437543951
562,353039,13460299839
563,353039,13458095245
564,353039,13447556177
565,353039,13438233039
566,353039,13438078183
567,353039,13461092798
568,353039,13469712039
569,353039,13465384494
570,353039,13470189908
571,353039,13469902976
572,353039,13469860697
573,353039,13469812604
574,353039,13477814813
575,353039,13484811193
576,353039,13478476653
577,353039,13478382512
578,353039,13477218101
579,353039,13471289409
580,353039,13471138296
581,353039,13470915032
582,353039,13470916742
583,353039,13470322259
584,353039,13499663310
585,353039,13499941829
586,353039,13499255398
587,353039,13499840649
588,353039,13436184575
589,353039,13470969242
590,353039,13460777885
